source,pt_PT
Criteria based on which employee should be rated in Performance Feedback and Self Appraisal,Critérios baseados em qual funcionário deve ser avaliado em Feedback de Desempenho e Autoavaliação
Currency,Moeda
Currency ,Moeda
Currency of selected Income Tax Slab should be {0} instead of {1},A moeda da Laje de Imposto de Renda selecionada deve ser {0} em vez de {1}
Current,Atual
Current CTC,CTC atual
Current Count,Contagem atual
Current Employer ,Atual empregador
Current Job Title,Cargo Atual
Current Month Income Tax,Imposto de renda do mês atual
Current Odometer Value should be greater than Last Odometer Value {0},O valor atual do odômetro deve ser maior que o último valor do odômetro {0}
Current Odometer value ,Valor atual do odômetro
Current Openings,Vagas Atuais
Current Payroll Period,Período atual da folha de pagamento
Current Slab,Laje Atual
Current Work Experience,Experiência de trabalho atual
"Currently, there is no {0} leave period for this date to create/update leave allocation.","Atualmente, não há período de licença {0} para esta data para criar/atualizar a alocação de férias."
Custom Range,Intervalo personalizado
Cyan,Ciano
Cycle Name,Nome do ciclo
Cycles,Ciclos
Daily,Diário
Daily Work Summary,Resumo do Trabalho Diário
Daily Work Summary Group,Grupo de Resumo de Trabalho Diário
Daily Work Summary Group User,Usuário do grupo de resumo de trabalho diário
Daily Work Summary Replies,Respostas de resumo de trabalho diário
Dashboard,Painel
Date,Data
Date ,Data
Date Range,Período
Date Range Exceeded,Período excedido
Date is repeated,A data é repetida
Date of Birth,Data de nascimento
Date of Joining,Data de adesão
Date {0} is repeated in Overtime Details,A data {0} é repetida nos detalhes das horas extras
Dates & Reason,Datas e motivo
Dates Based On,Datas baseadas em
Days for which Holidays are blocked for this department.,Dias em que os feriados estão bloqueados para este departamento.
Days to Reverse,Dias para reverter
Days to Reverse must be greater than zero.,Os dias para reversão devem ser maiores que zero.
Debit A/C Number,Número A/C de débito
Dec,dezembro
Decision Pending,Decisão pendente
Declarations,Declarações
Declared Amount,Valor declarado
Deduct Full Tax on Selected Payroll Date,Deduzir o imposto integral na data selecionada da folha de pagamento
Deduct Tax For Unsubmitted Tax Exemption Proof,Deduzir imposto para prova de isenção de imposto não apresentada
Deduction,Dedução
Deduction Arrears,Deduções em atraso
Deduction from Salary,Dedução do salário
Deductions,Deduções
Deductions before tax calculation,Deduções antes do cálculo do imposto
Default Account,Conta padrão
Default Amount,Valor padrão
Default Bank / Cash account will be automatically updated in Salary Journal Entry when this mode is selected.,A conta bancária/dinheiro padrão será atualizada automaticamente no lançamento contábil manual de salários quando este modo for selecionado.
Default Base Pay,Pagamento base padrão
Default Employee Advance Account,Conta de adiantamento de funcionário padrão
Default Expense Claim Payable Account,Conta a pagar de relatório de despesas padrão
Default Payroll Payable Account,Conta a pagar de folha de pagamento padrão
Default Salary Structure,Estrutura salarial padrão
Default Shift,Turno padrão
Deferred Expense Account,Conta de despesas diferidas
Delete,Excluir
Delete Attachment,Excluir anexo
Delete Demo Data,Excluir dados de demonstração
Department,Departamento
Department Approver,Aprovador do Departamento
Department {0} does not belong to company: {1},O departamento {0} não pertence à empresa: {1}
Department: {0},Departamento: {0}
Departure Datetime,Data de partida
Depends On Payment Days,Depende dos dias de pagamento
Depends on Payment Days,Depende dos dias de pagamento
Description,Descrição
Description of a Job Opening,Descrição de uma vaga de emprego
Designation,Designação
Designation Skill,Habilidade de Designação
Designation: {0},Designação: {0}
Details,Detalhes
"Details of Sponsor (Name, Location)","Detalhes do patrocinador (nome, localização)"
Determine Check-in and Check-out,Determinar check-in e check-out
Disable,Desativar
Disable Rounded Total,Desativar total arredondado
"Disable {0} for the {1} component, to prevent the amount from being deducted twice, as its formula already uses a payment-days-based component.","Desative {0} para o componente {1}, para evitar que o valor seja deduzido duas vezes, pois sua fórmula já utiliza um componente baseado em dias de pagamento."
Disable {0} or {1} to proceed.,Desative {0} ou {1} para continuar.
Disabled,Desabilitado
Do Not Include in Accounting Entries,Não incluir nos lançamentos contábeis
Do Not Include in Total,Não incluir no total
Do not include in total,Não inclua no total
Do you still want to proceed?,Você ainda deseja prosseguir?
Do you want to update the Job Applicant {0} as {1} based on this interview result?,Deseja atualizar o Candidato a Emprego {0} como {1} com base no resultado desta entrevista?
Document Status,Status do documento
Domestic,Error 504 (Server Error)!!1504.That’s an error.There was an error. Please try again later.That’s all we know.
Download PDF,Baixar PDF
Download Template,Baixar modelo
Draft,Rascunho
Duplicate Assignment,Atribuição duplicada
Duplicate Attendance,Atendimento duplicado
Duplicate Claim Detected,Reivindicação duplicada detectada
Duplicate Entry,Entrada duplicada
Duplicate Job Requisition,Requisição de trabalho duplicada
Duplicate Leave Adjustment,Ajuste de licença duplicado
Duplicate Overwritten Salary,Salário sobrescrito duplicado
Duplicate Salary Withholding,Retenção de salário duplicado
Duration (Days),Duração (dias)
ERROR({0}): {1},ERRO({0}): {1}
Early Exit,Saída antecipada
Early Exit By,Saída antecipada por
Early Exit Grace Period,Período de carência para saída antecipada
Early Exits,Saídas antecipadas
Earned Leave,Licença conquistada
Earned Leave Frequency,Frequência de licenças ganhas
Earned Leave Schedule,Cronograma de licenças ganhas
Earned Leaves,Folhas ganhas
Earned Leaves are allocated as per the configured frequency via scheduler.,As licenças ganhas são alocadas de acordo com a frequência configurada via agendador.
Earned Leaves are auto-allocated via scheduler based on the annual allocation set in the Leave Policy: {0},As licenças ganhas são alocadas automaticamente por meio do programador com base na alocação anual definida na Política de licenças: {0}
Earned Leaves are leaves earned by an Employee after working with the company for a certain amount of time. Enabling this will allocate leaves on pro-rata basis by automatically updating Leave Allocation for leaves of this type at intervals set by 'Earned Leave Frequency.,"Licenças Ganhas são licenças obtidas por um Funcionário após trabalhar na empresa por um determinado período de tempo. Ativar isso alocará licenças proporcionalmente, atualizando automaticamente a alocação de licenças para licenças desse tipo em intervalos definidos por 'Frequência de licenças ganhas'."
Earning,Ganhando
Earning Arrears,Ganhando atrasados
Earning Component,Componente de ganhos
Earning Salary Component is required for Employee Referral Bonus.,O ganho do componente salarial é necessário para o bônus de indicação de funcionário.
Earnings,Ganhos
Earnings & Deductions,Ganhos e deduções
Edit,Editar
Effective From,Eficaz a partir de
Effective To,Eficaz para
Effective from,Eficaz a partir de
Email,E-mail
Email Address,Endereço de email
Email ID,ID de e-mail
Email Salary Slip to Employee,Enviar recibo de salário por e-mail para o funcionário
Email Salary Slips,E-mail comprovantes de salário
Email Sent To,E-mail enviado para
Email Template,Modelo de e-mail
Email sent to {0},E-mail enviado para {0}
Emails salary slip to employee based on preferred email selected in Employee,Envia por e-mail o comprovante de salário ao funcionário com base no e-mail preferencial selecionado em Funcionário
Employee A/C Number,Número A/C do funcionário
Employee Advance,Adiantamento de Funcionário
Employee Advance Account,Conta Antecipada de Funcionário
Employee Advance Balance,Saldo Antecipado de Funcionário
Employee Advance Summary,Resumo de adiantamento de funcionário
Employee Attendance Tool,Ferramenta de Presença de Funcionários
Employee Benefit Application,Solicitação de benefício de funcionário
Employee Benefit Application Detail,Detalhes da solicitação de benefícios a funcionários
Employee Benefit Claim,Reivindicação de benefício de funcionário
Employee Benefit Detail,Detalhe do benefício do funcionário
Employee Benefit Ledger,Livro de benefícios de funcionários
Employee Benefits,Benefícios para funcionários
Employee Boarding Activity,Atividade de embarque de funcionários
Employee Checkin,Check-in do funcionário
Employee Company,Empresa do Funcionário
Employee Cost Center,Centro de Custo do Funcionário
Employee Details,Detalhes do funcionário
Employee Emails,E-mails de funcionários
Employee Exit,Saída de Funcionário
Employee Exit Settings,Configurações de saída de funcionário
Employee Exits,Saídas de funcionários
Employee Feedback Criteria,Critérios de feedback dos funcionários
Employee Feedback Rating,Avaliação de feedback dos funcionários
Employee Grade,Grau do funcionário
Employee Grievance,Reclamações de funcionários
Employee Health Insurance,Seguro de saúde para funcionários
Employee Image,Imagem do funcionário
Employee Incentive,Incentivo ao Funcionário
Employee Info,Informações do funcionário
Employee Loan,Empréstimo para funcionários
Employee Naming By,Nomeação de funcionário por
Employee Number,Número do funcionário
Employee Onboarding,Integração de funcionários
Employee Onboarding Template,Modelo de integração de funcionários
Employee Onboarding: {0} already exists for Job Applicant: {1},Integração de funcionários: {0} já existe para candidato a emprego: {1}
Employee Other Income,Outras receitas de funcionários
Employee Performance Feedback,Feedback de desempenho dos funcionários
Employee Promotion,Promoção de funcionários
Employee Promotion Details,Detalhes da promoção do funcionário
Employee Promotion cannot be submitted before Promotion Date,A promoção do funcionário não pode ser enviada antes da data da promoção
Employee Property History,Histórico de propriedade do funcionário
Employee Referral,Indicação de funcionário
Employee Referral {0} already exists for email: {1},A Indicação de Funcionário {0} já existe para o e-mail: {1}
Employee Referral {0} is not applicable for referral bonus.,A Indicação de Funcionário {0} não é aplicável para bônus de indicação.
Employee Referrals,Referências de funcionários
Employee Responsible ,Funcionário Responsável
Employee Retained,Funcionário Retido
Employee Self Service,Autoatendimento para funcionários
Employee Separation,Separação de funcionários
Employee Separation Template,Modelo de Separação de Funcionários
Employee Settings,Configurações de funcionários
Employee Skill,Habilidade do funcionário
Employee Skill Map,Mapa de habilidades do funcionário
Employee Skills,Habilidades dos funcionários
Employee Status,Status do funcionário
Employee Tax Exemption Category,Categoria de isenção de impostos para funcionários
Employee Tax Exemption Declaration,Declaração de isenção fiscal de funcionários
Employee Tax Exemption Declaration Category,Categoria de declaração de isenção de impostos para funcionários
Employee Tax Exemption Proof Submission,Envio de comprovante de isenção fiscal de funcionário
Employee Tax Exemption Proof Submission Detail,Detalhes do envio da prova de isenção fiscal do funcionário
Employee Tax Exemption Sub Category,Subcategoria de isenção de impostos para funcionários
Employee Training,Treinamento de funcionários
Employee Transfer,Transferência de funcionários
Employee Transfer Detail,Detalhe da transferência de funcionário
Employee Transfer Details,Detalhes de transferência de funcionários
Employee Transfer cannot be submitted before Transfer Date,A transferência de funcionário não pode ser enviada antes da data de transferência
Employee advance account {0} should be of type {1}.,A conta de adiantamento de funcionário {0} deve ser do tipo {1}.
"Employee can be named by Employee ID if you assign one, or via Naming Series. Select your preference here.","O funcionário pode ser nomeado pelo ID do funcionário, se você atribuir um, ou por meio da série de nomenclatura. Selecione sua preferência aqui."
Employee name,Nome do funcionário
Employee not found,Funcionário não encontrado
Employee records are created using the selected option,Os registros de funcionários são criados usando a opção selecionada
Employee was marked Absent due to missing Employee Checkins.,O funcionário foi marcado como Ausente devido à falta de Check-ins de funcionário.
Employee was marked Absent for not meeting the working hours threshold.,O funcionário foi marcado como Ausente por não cumprir o limite de jornada de trabalho.
Employee was marked Absent for other half due to missing Employee Checkins.,O funcionário foi marcado como Ausente na outra metade devido à falta de Check-ins do funcionário.
Employee {0} : {1},Funcionário {0}: {1}
Employee {0} already has an Attendance Request {1} that overlaps with this period,O funcionário {0} já possui uma Solicitação de Presença {1} que se sobrepõe a este período
Employee {0} already has an active Shift {1}: {2} that overlaps within this period.,O funcionário {0} já possui um turno ativo {1}: {2} que se sobrepõe neste período.
Employee {0} already submitted an application {1} for the payroll period {2},O funcionário {0} já enviou uma solicitação {1} para o período processado na folha de pagamento {2}
Employee {0} has already applied for Shift {1}: {2} that overlaps within this period,O funcionário {0} já se inscreveu para o turno {1}: {2} que se sobrepõe neste período
Employee {0} has already applied for {1} between {2} and {3} : {4},O funcionário {0} já se inscreveu para {1} entre {2} e {3}: {4}
"Employee {0} has already claimed the benefit '{1}' for {2} ({3}).<br>To prevent overpayments, only one claim per benefit type is allowed in each payroll cycle.","O funcionário {0} já reivindicou o benefício '{1}' de {2} ({3}).<br>Para evitar pagamentos indevidos, apenas uma reivindicação por tipo de benefício é permitida em cada ciclo de folha de pagamento."
Employee {0} is not active or does not exist,O funcionário {0} não está ativo ou não existe
Employee {0} is on Leave on {1},O funcionário {0} está de licença em {1}
Employee {0} not found in Training Event Participants.,Funcionário {0} não encontrado em Participantes do Evento de Treinamento.
Employee {0} on Half day on {1},Funcionário {0} em Meio dia em {1}
Employee {0} relieved on {1} must be set as 'Left',O funcionário {0} dispensado em {1} deve ser definido como 'Esquerdo'
Employee: {0} have to complete minimum {1} years for gratuity,Funcionário: {0} precisa completar no mínimo {1} anos para receber gorjeta
Employees,Funcionários
Employees HTML,Funcionários HTML
Employees cannot give feedback to themselves. Use {0} instead: {1},Os funcionários não podem dar feedback a si mesmos. Use {0} em vez disso: {1}
Employees on Half Day HTML,Funcionários em HTML de meio dia
Employees will miss holiday reminders from {} until {}. <br> Do you want to proceed with this change?,Os funcionários perderão lembretes de feriados de {} até {}. <br> Deseja prosseguir com esta alteração?
Employees without Feedback: {0},Funcionários sem feedback: {0}
Employees without Goals: {0},Funcionários sem metas: {0}
Employees working on a holiday,Funcionários trabalhando em feriado
Employment Type,Tipo de emprego
EmptyState,Estado Vazio
Enable Auto Attendance,Ativar atendimento automático
Enable Early Exit Marking,Habilitar marcação de saída antecipada
Enable Late Entry Marking,Ativar marcação de entrada tardia
"Enable this to use a specific multiplier for public holidays. If unchecked, the standard multiplier will be used instead.","Habilite isto para usar um multiplicador específico para feriados. Se desmarcado, o multiplicador padrão será usado."
"Enable this to use a specific multiplier for weekends. If unchecked, the standard multiplier will be used instead.","Habilite isto para usar um multiplicador específico para fins de semana. Se desmarcado, o multiplicador padrão será usado."
Enabled only for Employee Benefit components from Salary Structure Assignment,Ativado apenas para componentes de Benefícios a Empregados da Atribuição de Estrutura Salarial
Encashment,Encargo
Encashment Amount,Valor de cobrança
Encashment Date,Data de Resgate
Encashment Days,Dias de Encantamento
Encashment Days cannot exceed {0} {1} as per Leave Type settings,Os Dias de Pagamento não podem exceder {0} {1} de acordo com as configurações de Tipo de Licença
Encashment Limit Applied,Limite de cobrança aplicado
Encrypt Salary Slips in Emails,Criptografe recibos de salário em e-mails
End,Fim
End Date,Data de término
End Date cannot be before Start Date,A data de término não pode ser anterior à data de início
End Time,Hora de término
End date: {0},Data de término: {0}
End time cannot be before start time,O horário de término não pode ser anterior ao horário de início
Enter Interview Type,Insira o tipo de entrevista
Enter a non-zero value to adjust.,Insira um valor diferente de zero para ajustar.
Enter the Standard Working Hours for a normal work day. These hours will be used in calculations of reports such as Employee Hours Utilization and Project Profitability analysis.,Insira o horário de trabalho padrão para um dia normal de trabalho. Essas horas serão utilizadas em cálculos de relatórios como Utilização de Horas do Funcionário e análise de Rentabilidade do Projeto.
Enter the number of Leave Without Pay (LWP) days you want to reverse. This value cannot exceed the total LWP days recorded for the selected month,Insira o número de dias de licença sem remuneração (LWP) que deseja reverter. Este valor não pode exceder o total de dias LWP registrados para o mês selecionado
Enter the number of leaves you want to allocate for the period.,Insira o número de licenças que deseja alocar para o período.
Enter yearly benefit amounts,Insira valores de benefícios anuais
Error,Erro
Error Log,Registro de erros
Error Message,Mensagem de erro
Error downloading PDF,Erro ao baixar PDF
Error in formula or condition,Erro na fórmula ou condição
Error in formula or condition: {0} in Income Tax Slab,Erro na fórmula ou condição: {0} na Laje do Imposto de Renda
Error in some rows,Erro em algumas linhas
Error while evaluating the {doctype} {doclink} at row {row_id}. <br><br> <b>Error:</b> {error} <br><br> <b>Hint:</b> {description},Erro ao avaliar {doctype} {doclink} na linha {row_id}. <br><br> <b>Erro:</b> {error} <br><br> <b>Dica:</b> {descrição}
Estimated Cost Per Position,Custo estimado por posição
Evaluation,Avaliação
Evaluation Date,Data de avaliação
Evaluation Method cannot be changed as there are existing appraisals created for this cycle,O Método de Avaliação não pode ser alterado porque existem avaliações criadas para este ciclo
Event Details,Detalhes do Evento
Event Link,Link do evento
Event Location,Local do Evento
Event Name,Nome do Evento
Event Status,Status do Evento
Every 2 Weeks,A cada 2 semanas
Every 3 Weeks,A cada 3 semanas
Every 4 Weeks,A cada 4 semanas
Every Valid Check-in and Check-out,Cada check-in e check-out válidos
Every Week,Todas as semanas
"Everyone, letâ€™s congratulate them on their work anniversary!","Pessoal, vamos parabenizá-los pelo aniversário de trabalho!"
"Everyone, letâ€™s congratulate {0} on their birthday.","Pessoal, vamos parabenizar {0} pelo seu aniversário."
Exam,Exame
Exchange Rate,Taxa de câmbio
Exchange rate of Payment Entry against Employee Advance,Taxa de câmbio do lançamento de pagamento contra adiantamento de funcionário
Exclude Holidays,Excluir feriados
Excluded {0} Non-Encashable Leaves for {1},Excluídas {0} licenças não recuperáveis ​​para {1}
Exempted from Income Tax,Isento de Imposto de Renda
Exemption Category,Categoria de isenção
Exemption Proofs,Provas de isenção
Exemption Sub Category,Subcategoria de isenção
Existing Record,Registro Existente
Existing Shift Assignments,Atribuições de turno existentes
Exit Confirmed,Saída confirmada
Exit Details,Detalhes de saída
Exit Interview,Entrevista de saída
Exit Interview Pending,Entrevista de saída pendente
Exit Interview Summary,Resumo da entrevista de saída
Exit Interview {0} already exists for Employee: {1},A Entrevista de Saída {0} já existe para o Funcionário: {1}
Exit Questionnaire,Questionário de saída
Exit Questionnaire Notification,Notificação de saída do questionário
Exit Questionnaire Notification Template,Modelo de notificação de questionário de saída
Exit Questionnaire Pending,Questionário de saída pendente
Exit Questionnaire Web Form,Sair do Formulário Web do Questionário
Expand All,Expandir tudo
Expected Average Rating,Classificação Média Esperada
Expected By,Esperado por
Expected Compensation,Compensação Esperada
Expected Skill Set,Conjunto de habilidades esperado
Expected Skillset,Conjunto de habilidades esperado
Expense Approver,Aprovador de despesas
Expense Approver Mandatory In Expense Claim,Aprovador de despesas obrigatório na declaração de despesas
Expense Claim,Reivindicação de despesas
Expense Claim Account,Conta de reivindicação de despesas
Expense Claim Advance,Adiantamento de reivindicação de despesas
Expense Claim Detail,Detalhes da declaração de despesas
Expense Claim Summary,Resumo do relatório de despesas
Expense Claim Type,Tipo de relatório de despesas
Expense Claim for Vehicle Log {0},Relatório de despesas para registro de veículo {0}
Expense Claim {0} already exists for the Vehicle Log,O relatório de despesas {0} já existe para o registro do veículo
Expense Claims,Reivindicações de despesas
Expense Date,Data da Despesa
Expense Proof,Comprovante de despesas
Expense Taxes and Charges,Impostos e Taxas de Despesas
Expense Type,Tipo de despesa
Expenses & Advances,Despesas e Adiantamentos
Expenses Settings,Configurações de despesas
Expire Allocation,Expirar alocação
Expire Carry Forwarded Leaves (Days),Expiração de folhas encaminhadas (dias)
Expire Leaves,Expirar Folhas
Expired Leave(s),Licenças expiradas
Expired Leaves,Folhas expiradas
Explanation,Explicação
Exporting...,Exportador...
Failed to create/submit {0} for employees:,Falha ao criar/enviar {0} para funcionários:
Failed to delete defaults for country {0}.,Falha ao excluir padrões do país {0}.
Failed to download PDF: {0},Falha ao baixar o PDF: {0}
Failed to send the Interview Reschedule notification. Please configure your email account.,Falha ao enviar a notificação de reagendamento de entrevista. Por favor configure sua conta de e-mail.
Failed to setup defaults for country {0}.,Falha ao configurar padrões para o país {0}.
Failed to submit some leave policy assignments:,Falha ao enviar algumas atribuições de política de licença:
Failed to update the Job Applicant status,Falha ao atualizar o status do candidato a emprego
Failed to {0} {1} for employees:,Falha ao {0} {1} para funcionários:
Failure,Falha
Failure Details,Detalhes da falha
Failure Reason,Motivo da falha
Failure of Automatic Allocation of Earned Leaves,Falha na alocação automática de licenças ganhas
Feb,fevereiro
Feedback,Opinião
Feedback Count,Contagem de comentários
Feedback HTML,HTML de comentários
Feedback Ratings,Avaliações de feedback
Feedback Reminder Notification Template,Modelo de notificação de lembrete de feedback
Feedback Score,Pontuação de feedback
Feedback Submitted,Feedback enviado
Feedback Summary,Resumo de comentários
Feedback already submitted for the Interview {0}. Please cancel the previous Interview Feedback {1} to continue.,Feedback já enviado para a Entrevista {0}. Cancele o feedback da entrevista anterior {1} para continuar.
Feedback cannot be recorded for an absent Employee.,O feedback não pode ser registrado para um funcionário ausente.
Feedback {0} added successfully,Feedback {0} adicionado com sucesso
Fetch Geolocation,Buscar geolocalização
Fetch Overtime Details,Buscar detalhes de horas extras
Fetch Shift,Buscar turno
Fetch Shifts,Buscar turnos
Fetching Employees,Buscando funcionários
Fetching Shift,Buscando turno
Fetching your geolocation,Buscando sua geolocalização
Field Name,Nome do campo
File Preview,Pré-visualização do arquivo
Fill the form and save it,Preencha o formulário e salve-o
Filled,Preenchido
Filter Employees,Filtrar funcionários
Filter List,Lista de filtros
Filter by Shift,Filtrar por turno
Final Decision,Decisão final
Final Score,Pontuação Final
Final Score Formula,Fórmula de pontuação final
First Check-in and Last Check-out,Primeiro check-in e último check-out
First Day,Primeiro dia
First Name ,Primeiro nome
Fiscal Year {0} not found,Ano fiscal {0} não encontrado
Fixed Hourly Rate,Taxa horária fixa
Flexible Benefit,Benefício Flexível
Flexible Benefits,Benefícios flexíveis
Flexible Component,Componente Flexível
Flight,Voo
FnF Pending,FnF pendente
Follow via Email,Acompanhe por e-mail
Food,Comida
For Designation ,Para Designação
For Employee,Para funcionário
"For a day of leave taken, if you still pay (say) 50% of the daily salary, then enter 0.50 in this field.","Para um dia de licença gozada, se você ainda pagar (digamos) 50% do salário diário, insira 0,50 neste campo."
Formula,Fórmula
Fortnightly,Quinzenal
Fraction of Applicable Earnings ,Fração de ganhos aplicáveis
Fraction of Daily Salary for Half Day,Fração do salário diário para meio dia
Fraction of Daily Salary per Leave,Fração do salário diário por licença
Fractional Cost,Custo Fracionário
Frappe HR,Recursos Humanos
Frappe Support,Suporte de ataque
Frequency,Freqüência
Friday,Sexta-feira
From,De
From Amount,Do valor
From Date,Da data
From Date must come before To Date,A data inicial deve vir antes da data final
From Date {0} cannot be after Payroll Period end date {1},A data inicial {0} não pode ser posterior à data de término do período da folha de pagamento {1}
From Date {0} cannot be after employee's relieving Date {1},A data inicial {0} não pode ser posterior à data de demissão do funcionário {1}
From Date {0} cannot be before Payroll Period start date {1},A data inicial {0} não pode ser anterior à data de início do período da folha de pagamento {1}
From Date {0} cannot be before employee's joining Date {1},A data inicial {0} não pode ser anterior à data de ingresso do funcionário {1}
From Employee,Do Funcionário
From User,Do usuário
From and to dates are mandatory for recurring type additional salaries.,As datas de e até são obrigatórias para salários adicionais do tipo recorrente.
From date can not be less than employee's joining date,A data inicial não pode ser inferior à data de ingresso do funcionário
From date can not be less than employee's joining date.,A data inicial não pode ser inferior à data de ingresso do funcionário.
"From here, you can enable encashment for the balance leaves.","A partir daqui, você pode ativar o pagamento das folhas de saldo."
From {0} to {1},De {0} a {1}
From(Year),De (ano)
Fuchsia,Fúcsia
Fuel Expense,Despesa de Combustível
Fuel Expenses,Despesas de Combustível
Fuel Price,Preço do combustível
Fuel Qty,Quantidade de combustível
Full Name,Nome completo
Full and Final Asset,Ativo total e final
Full and Final Outstanding Statement,Declaração Pendente Completa e Final
Full and Final Statement,Declaração completa e final
Full-time,Tempo total
Fully Sponsored,Totalmente patrocinado
Funded Amount,Valor financiado
Future Income Tax,Imposto de Renda Futuro
Future dates not allowed,Datas futuras não permitidas
Gain Loss Account,Conta de perda de ganho
Geolocation Error,Erro de geolocalização
Geolocation is not supported by your current browser,A geolocalização não é suportada pelo seu navegador atual
Get Details From Declaration,Obtenha detalhes da declaração
Get Employees,Obtenha funcionários
Get Job Requisitions,Obtenha requisições de trabalho
Get Template,Obter modelo
Get the app on your device for easy access & a better experience!,Obtenha o aplicativo no seu dispositivo para acesso fácil e uma experiência melhor!
Get the app on your iPhone for easy access & a better experience,Obtenha o aplicativo no seu iPhone para acesso fácil e uma experiência melhor
Gluten Free,Não contém gluten
Go to Login,Vá para Entrar
Goal,Meta
Goal Completion (%),Conclusão da meta (%)
Goal Score,Pontuação do gol
Goal Score (%),Pontuação de gols (%)
Goal Score (weighted),Pontuação da meta (ponderada)
Goal progress percentage cannot be more than 100.,A porcentagem de progresso da meta não pode ser superior a 100.
Goal should be aligned with the same KRA as its parent goal.,A meta deve estar alinhada com o mesmo KRA de sua meta principal.
Goal should be owned by the same employee as its parent goal.,A meta deve pertencer ao mesmo funcionário que sua meta pai.
Goal should belong to the same Appraisal Cycle as its parent goal.,A meta deve pertencer ao mesmo Ciclo de Avaliação que sua meta pai.
Goal updated successfully,Meta atualizada com sucesso
Goals,Metas
Goals updated successfully,Metas atualizadas com sucesso
Grade,Nota
Grand Total (Company Currency),Total geral (moeda da empresa)
Gratuity,Gratificação
Gratuity Applicable Component,Componente aplicável à gorjeta
Gratuity Rule,Regra de gratuidade
Gratuity Rule Slab,Laje de regra de gratificação
Green,Verde
Grievance Against,Reclamações contra
Grievance Against Party,Reclamações contra o partido
Grievance Details,Detalhes da reclamação
Grievance Type,Tipo de reclamação
Gross Earnings,Lucro Bruto
Gross Pay,Salário Bruto
Gross Pay (Company Currency),Pagamento bruto (moeda da empresa)
Gross Year To Date,Ano bruto até o momento
Gross Year To Date(Company Currency),Acumulado no ano bruto (moeda da empresa)
Group,Grupo
Group By,Agrupar por
Group goal's progress is auto-calculated based on the child goals.,O progresso da meta do grupo é calculado automaticamente com base nas metas secundárias.
HR,RH
HR & Payroll,RH e folha de pagamento
HR & Payroll Settings,Configurações de RH e folha de pagamento
HR Settings,Configurações de RH
HR-ADS-.YY.-.MM.-,HR-ADS-.AA.-.MM.-
HR-APR-.YYYY.-,HR-ABR-.AAAA.-
HR-ATT-.YYYY.-,HR-ATT-.AAAA.-
HR-EAD-.YYYY.-,HR-EAD-.AAAA.-
HR-EXIT-INT-,RH-SAIR-INT-
HR-EXP-.YYYY.-,HR-EXP-.AAAA.-
HR-HIREQ-,RH-CONTRATAÇÃOQ-
HR-HLA-.YYYY.-,HR-HLA-.AAAA.-
HR-LAD-.YYYY.-,HR-LAD-.AAAA.-
HR-LAL-.YYYY.-,HR-LAL-.AAAA.-
HR-LAP-.YYYY.-,HR-LAP-.AAAA.-
HR-VLOG-.YYYY.-,HR-VLOG-.AAAA.-
HRMS,SGRH
Half Day,Meio dia
Half Day Date,Data de meio dia
Half Day Date is mandatory,A data de meio dia é obrigatória
Half Day Date should be between From Date and To Date,A data de meio dia deve estar entre a data inicial e a data final
Half Day Date should be in between Work From Date and Work End Date,A data de meio dia deve estar entre a data de início do trabalho e a data de término do trabalho
Half Day Marked Employee Header,Cabeçalho de funcionário marcado para meio dia
Half Day Records,Registros de meio dia
Half Yearly,Semestralmente
Half day date should be in between from date and to date,A data de meio dia deve estar entre a data e a data
Has Certificate,Possui Certificado
Health Insurance,Seguro Saúde
Health Insurance Name,Nome do seguro saúde
Health Insurance No,Seguro de saúde Não
Health Insurance Provider,Provedor de seguro saúde
Hello,Olá
Help,Ajuda
Hey {}! This email is to remind you about the upcoming holidays.,Ei {}! Este e-mail é para lembrá-lo sobre os próximos feriados.
Hiring Count,Contagem de contratações
Hiring Settings,Configurações de contratação
Holiday List Assignment,Atribuição de lista de feriados
Holiday List Assignment for {0} already exists for date {1}: {2},A atribuição de lista de feriados para {0} já existe para a data {1}: {2}
Holiday List End,Fim da lista de feriados
Holiday List Start,Início da lista de feriados
Holiday List for Optional Leave,Lista de feriados para licença opcional
Holidays,Feriados
Holidays this Month.,Feriados este mês.
Holidays this Week.,Feriados esta semana.
Home,Página inicial
Horizontal Break,Quebra horizontal
Hour Rate,Taxa horária
Hour Rate (Company Currency),Taxa horária (moeda da empresa)
Hourly Rate,Taxa horária
House rent paid days overlapping with {0},Dias pagos de aluguel de casa sobrepostos a {0}
House rented dates required for exemption calculation,Datas de locação da casa necessárias para cálculo de isenção
House rented dates should be atleast 15 days apart,As datas de aluguel da casa devem ter pelo menos 15 dias de intervalo
IFSC,IFSC
IFSC Code,Código IFSC
IN,EM
Identification Document Number,Número do Documento de Identificação
Identification Document Type,Tipo de documento de identificação
"If checked, Payroll Payable will be booked against each employee","Se marcada, a Folha de Pagamento a Pagar será contabilizada em relação a cada funcionário"
"If checked, flexible benefits are considered only if benefit application exists","Se marcada, os benefícios flexíveis serão considerados somente se existir solicitação de benefício"
"If checked, hides and disables Rounded Total field in Salary Slips","Se marcada, oculta e desativa o campo Total Arredondado nos Recibos de Salário"
"If checked, overtime slip creation can be handled as part of payroll processing","Se marcada, a criação de recibo de horas extras pode ser tratada como parte do processamento da folha de pagamento"
